	chrom_region	start_region	end_region	region_number	chrom_gene	start_gene	end_gene	gene_name	gene_number	distance
1	chr1	1074796	1075296	135	chr1	1081818	1116361	C1orf159	0	7022
2	chr1	1079516	1080016	136	chr1	1081818	1116361	C1orf159	0	2302
3	chr1	1080311	1080811	137	chr1	1081818	1116361	C1orf159	0	1507
4	chr1	1081516	1082016	138	chr1	1081818	1116361	C1orf159	0	302
5	chr1	1082306	1082806	139	chr1	1081818	1116361	C1orf159	0	488
6	chr1	1089864	1090364	140	chr1	1081818	1116361	C1orf159	0	8046
7	chr1	1090837	1091337	141	chr1	1081818	1116361	C1orf159	0	9019
18	chr1	1283202	1283702	206	chr1	1292390	1309609	ACAP3	1	9188
19	chr1	1283759	1284259	207	chr1	1292390	1309609	ACAP3	1	8631
20	chr1	1284457	1284957	208	chr1	1292390	1309609	ACAP3	1	7933
21	chr1	1285167	1285667	209	chr1	1292390	1309609	ACAP3	1	7223
22	chr1	1285935	1286435	210	chr1	1292390	1309609	ACAP3	1	6455
23	chr1	1286611	1287111	211	chr1	1292390	1309609	ACAP3	1	5779
24	chr1	1290090	1290590	212	chr1	1292390	1309609	ACAP3	1	2300
25	chr1	1290915	1291415	213	chr1	1292390	1309609	ACAP3	1	1475
26	chr1	1291762	1292262	214	chr1	1292390	1309609	ACAP3	1	628
27	chr1	1292638	1293138	215	chr1	1292390	1309609	ACAP3	1	248
28	chr1	1293408	1293908	216	chr1	1292390	1309609	ACAP3	1	1018
29	chr1	1293941	1294441	217	chr1	1292390	1309609	ACAP3	1	1551
30	chr1	1294477	1294977	218	chr1	1292390	1309609	ACAP3	1	2087
31	chr1	1295042	1295542	219	chr1	1292390	1309609	ACAP3	1	2652
32	chr1	1296017	1296517	220	chr1	1292390	1309609	ACAP3	1	3627
33	chr1	1296759	1297259	221	chr1	1292390	1309609	ACAP3	1	4369
34	chr1	1297681	1298181	222	chr1	1292390	1309609	ACAP3	1	5291
35	chr1	1298787	1299287	223	chr1	1292390	1309609	ACAP3	1	6397
36	chr1	1299378	1299878	224	chr1	1292390	1309609	ACAP3	1	6988
37	chr1	1299933	1300433	225	chr1	1292390	1309609	ACAP3	1	7543
38	chr1	1300572	1301072	226	chr1	1292390	1309609	ACAP3	1	8182
39	chr1	1301108	1301608	227	chr1	1292390	1309609	ACAP3	1	8718
40	chr1	1301903	1302403	228	chr1	1292390	1309609	ACAP3	1	9513
58	chr1	1375758	1376258	292	chr1	1385711	1399335	CCNL2	2	9953
59	chr1	1376846	1377346	293	chr1	1385711	1399335	CCNL2	2	8865
60	chr1	1382832	1383332	294	chr1	1385711	1399335	CCNL2	2	2879
61	chr1	1387318	1387818	295	chr1	1385711	1399335	CCNL2	2	1607
62	chr1	1390564	1391064	296	chr1	1385711	1399335	CCNL2	2	4853
74	chr1	2175607	2176107	537	chr1	2184461	2212720	FAAP20	3	8854
75	chr1	2178189	2178689	538	chr1	2184461	2212720	FAAP20	3	6272
76	chr1	2179255	2179755	539	chr1	2184461	2212720	FAAP20	3	5206
77	chr1	2179913	2180413	540	chr1	2184461	2212720	FAAP20	3	4548
78	chr1	2180421	2180921	541	chr1	2184461	2212720	FAAP20	3	4040
79	chr1	2181024	2181524	542	chr1	2184461	2212720	FAAP20	3	3437
80	chr1	2183479	2183979	543	chr1	2184461	2212720	FAAP20	3	982
81	chr1	2184026	2184526	544	chr1	2184461	2212720	FAAP20	3	435
82	chr1	2185735	2186235	545	chr1	2184461	2212720	FAAP20	3	1274
83	chr1	2189377	2189877	546	chr1	2184461	2212720	FAAP20	3	4916
84	chr1	2189995	2190495	547	chr1	2184461	2212720	FAAP20	3	5534
85	chr1	2190579	2191079	548	chr1	2184461	2212720	FAAP20	3	6118
86	chr1	2191112	2191612	549	chr1	2184461	2212720	FAAP20	3	6651
87	chr1	2192117	2192617	550	chr1	2184461	2212720	FAAP20	3	7656
88	chr1	2193212	2193712	551	chr1	2184461	2212720	FAAP20	3	8751
89	chr1	2193914	2194414	552	chr1	2184461	2212720	FAAP20	3	9453
113	chr1	3061319	3061819	950	chr1	3069168	3438621	PRDM16	4	7849
114	chr1	3062491	3062991	951	chr1	3069168	3438621	PRDM16	4	6677
115	chr1	3063021	3063521	952	chr1	3069168	3438621	PRDM16	4	6147
116	chr1	3063905	3064405	953	chr1	3069168	3438621	PRDM16	4	5263
117	chr1	3065411	3065911	954	chr1	3069168	3438621	PRDM16	4	3757
118	chr1	3066094	3066594	955	chr1	3069168	3438621	PRDM16	4	3074
119	chr1	3067108	3067608	956	chr1	3069168	3438621	PRDM16	4	2060
120	chr1	3067749	3068249	957	chr1	3069168	3438621	PRDM16	4	1419
121	chr1	3068383	3068883	958	chr1	3069168	3438621	PRDM16	4	785
122	chr1	3068973	3069473	959	chr1	3069168	3438621	PRDM16	4	195
123	chr1	3069529	3070029	960	chr1	3069168	3438621	PRDM16	4	361
124	chr1	3070206	3070706	961	chr1	3069168	3438621	PRDM16	4	1038
125	chr1	3070966	3071466	962	chr1	3069168	3438621	PRDM16	4	1798
126	chr1	3072199	3072699	963	chr1	3069168	3438621	PRDM16	4	3031
127	chr1	3072972	3073472	964	chr1	3069168	3438621	PRDM16	4	3804
128	chr1	3074077	3074577	965	chr1	3069168	3438621	PRDM16	4	4909
129	chr1	3074824	3075324	966	chr1	3069168	3438621	PRDM16	4	5656
130	chr1	3075842	3076342	967	chr1	3069168	3438621	PRDM16	4	6674
131	chr1	3076450	3076950	968	chr1	3069168	3438621	PRDM16	4	7282
132	chr1	3077109	3077609	969	chr1	3069168	3438621	PRDM16	4	7941
133	chr1	3077802	3078302	970	chr1	3069168	3438621	PRDM16	4	8634
134	chr1	3078525	3079025	971	chr1	3069168	3438621	PRDM16	4	9357
433	chr1	6099702	6100202	1987	chr1	6101787	6180321	CHD5	5	2085
434	chr1	6100245	6100745	1988	chr1	6101787	6180321	CHD5	5	1542
435	chr1	6100779	6101279	1989	chr1	6101787	6180321	CHD5	5	1008
436	chr1	6101777	6102277	1990	chr1	6101787	6180321	CHD5	5	10
437	chr1	6108787	6109287	1991	chr1	6101787	6180321	CHD5	5	7000
438	chr1	6111524	6112024	1992	chr1	6101787	6180321	CHD5	5	9737
